"d_x","d_y","cs_x","cs_y"
4031,642.063477,4031,2000,
4032,643.313477,4032,1950,
4033,645.813477,4033,1950,
4034,647.063477,4034,1950,
4035,647.063477,4035,2000,
4036,648.313477,4036,2000,
4037,648.313477,4037,2000,
4038,648.313477,4038,2000,
4039,648.313477,4039,2000,
4040,647.063477,4040,2050,
4041,647.063477,4041,2000,
4042,648.313477,4042,1950,
4043,650.813477,4043,1950,
4044,650.813477,4044,2000,
4045,652.063477,4045,1950,
4046,652.063477,4046,2000,
4047,650.813477,4047,2050,
4048,649.563477,4048,2050,
4049,649.563477,4049,2000,
4050,648.313477,4050,2050,
4051,647.063477,4051,2050,
4052,645.813477,4052,2050,
4053,644.563477,4053,2000,
4054,643.313477,4054,2050,
4055,643.313477,4055,2000,
4056,643.313477,4056,2000,
4057,645.694458,4057,2000,
4058,650.456421,4058,2000,
4059,652.837402,4059,2000,
4060,655.218384,4060,2000,
4061,658.789856,4061,2000,
4062,659.980347,4062,2050,
4063,663.551819,4063,2050,
4064,664.74231,4064,2050,
4065,665.9328,4065,2050,
4066,667.123291,4066,2100,
4067,668.313782,4067,2050,
4068,669.504272,4068,2050,
4069,668.313782,4069,2150,
4070,669.504272,4070,2050,
4071,670.694763,4071,2050,
4072,671.885254,4072,2050,
4073,673.075745,4073,2050,
4074,673.075745,4074,2100,
4075,673.075745,4075,2100,
4076,671.885254,4076,2150,
4077,670.694763,4077,2150,
4078,668.313782,4078,2150,
4079,668.313782,4079,2100,
4080,668.313782,4080,2100,
4081,667.123291,4081,2100,
4082,665.9328,4082,2150,
4083,664.74231,4083,2150,
4084,664.74231,4084,2100,
4085,664.74231,4085,2100,
4086,664.74231,4086,2100,
4087,664.74231,4087,2100,
4088,664.74231,4088,2050,
4089,663.551819,4089,2150,
4090,664.74231,4090,2050,
4091,665.9328,4091,2050,
4092,665.9328,4092,2100,
4093,668.313782,4093,2050,
4094,669.504272,4094,2050,
4095,669.504272,4095,2100,
4096,670.694763,4096,2050,
4097,670.694763,4097,2100,
4098,669.504272,4098,2100,
4099,669.504272,4099,2100,
4100,669.504272,4100,2100,
4101,670.694763,4101,2100,
4102,672.967468,4102,2100,
4103,677.512878,4103,2100,
4104,678.649231,4104,2150,
4105,679.785583,4105,2150,
4106,680.921936,4106,2150,
4107,680.921936,4107,2200,
4108,682.058289,4108,2200,
4109,682.058289,4109,2200,
4110,682.058289,4110,2200,
4111,682.058289,4111,2200,
4112,682.058289,4112,2200,
4113,682.058289,4113,2200,
4114,682.058289,4114,2200,
4115,682.058289,4115,2200,
4116,682.058289,4116,2150,
4117,682.058289,4117,2200,
4118,684.330994,4118,2150,
4119,685.467346,4119,2150,
4120,686.603699,4120,2150,
4121,687.740051,4121,2200,
4122,687.740051,4122,2200,
4123,688.876404,4123,2200,
4124,688.876404,4124,2200,
4125,688.876404,4125,2200,
4126,687.740051,4126,2200,
4127,687.740051,4127,2200,
4128,688.876404,4128,2200,
4129,690.012756,4129,2150,
4130,690.012756,4130,2200,
4131,691.149109,4131,2200,
4132,690.012756,4132,2250,
4133,690.012756,4133,2200,
4134,688.876404,4134,2250,
4135,688.876404,4135,2200,
4136,688.876404,4136,2200,
4137,687.740051,4137,2250,
4138,686.603699,4138,2200,
4139,686.603699,4139,2200,
4140,685.467346,4140,2250,
4141,685.467346,4141,2200,
4142,685.467346,4142,2200,
4143,685.467346,4143,2200,
4144,685.467346,4144,2200,
4145,685.467346,4145,2200,
4146,690.9021,4146,2150,
4147,694.162964,4147,2150,
4148,698.510742,4148,2200,
4149,699.597717,4149,2250,
4150,700.684692,4150,2250,
4151,702.858643,4151,2250,
4152,703.945618,4152,2250,
4153,705.032593,4153,2300,
4154,706.119568,4154,2250,
4155,707.206543,4155,2250,
4156,709.380493,4156,2250,
4157,709.380493,4157,2300,
4158,709.380493,4158,2350,
4159,709.380493,4159,2300,
4160,709.380493,4160,2300,
4161,708.293518,4161,2300,
4162,707.206543,4162,2350,
4163,706.119568,4163,2350,
4164,706.119568,4164,2300,
4165,705.032593,4165,2350,
4166,703.945618,4166,2350,
4167,703.945618,4167,2300,
4168,703.945618,4168,2300,
4169,702.858643,4169,2350,
4170,702.858643,4170,2300,
4171,702.858643,4171,2300,
4172,702.858643,4172,2300,
4173,705.032593,4173,2250,
4174,705.032593,4174,2300,
4175,706.119568,4175,2250,
4176,708.293457,4176,2300,
4177,709.380432,4177,2250,
4178,709.380432,4178,2300,
4179,708.293457,4179,2350,
4180,708.293457,4180,2300,
4181,709.380432,4181,2250,
4182,709.380432,4182,2300,
4183,709.380432,4183,2300,
4184,709.380432,4184,2300,
4185,709.380432,4185,2300,
4186,708.293457,4186,2300,
4187,708.293457,4187,2300,
4188,708.293457,4188,2300,
4189,710.37677,4189,2300,
4190,711.418457,4190,2350,
4191,713.501831,4191,2350,
4192,713.501831,4192,2400,
4193,715.585205,4193,2350,
4194,716.626892,4194,2350,
4195,716.626892,4195,2400,
4196,717.668579,4196,2350,
4197,717.668579,4197,2400,
4198,719.751953,4198,2350,
4199,720.79364,4199,2350,
4200,721.835327,4200,2350,
4201,723.91864,4201,2400,
4202,724.960327,4202,2350,
4203,726.002014,4203,2400,
4204,726.002014,4204,2400,
4205,726.002014,4205,2400,
4206,726.002014,4206,2350,
4207,726.002014,4207,2400,
4208,728.085388,4208,2350,
4209,728.085388,4209,2400,
4210,729.127075,4210,2350,
4211,728.085388,4211,2450,
4212,728.085388,4212,2400,
4213,728.085388,4213,2400,
4214,727.043701,4214,2450,
4215,726.002014,4215,2450,
4216,724.960327,4216,2450,
4217,724.960327,4217,2400,
4218,723.91864,4218,2400,
4219,723.91864,4219,2400,
4220,722.876953,4220,2450,
4221,723.91864,4221,2350,
4222,723.91864,4222,2400,
4223,724.960327,4223,2350,
4224,724.960327,4224,2400,
4225,726.002014,4225,2350,
4226,727.043701,4226,2350,
4227,727.043701,4227,2400,
4228,728.085388,4228,2350,
4229,728.085388,4229,2400,
4230,727.043701,4230,2450,
4231,728.085388,4231,2350,
4232,728.085388,4232,2400,
4233,733.085388,4233,2350,
4234,735.085388,4234,2400,
4235,736.085388,4235,2450,
4236,738.085388,4236,2450,
4237,739.085388,4237,2450,
4238,740.085388,4238,2450,
4239,741.085388,4239,2450,
4240,741.085388,4240,2500,
4241,741.085388,4241,2500,
4242,741.085388,4242,2500,
4243,742.085388,4243,2500,
4244,742.085388,4244,2500,
4245,742.085388,4245,2500,
4246,743.085388,4246,2450,
4247,743.085388,4247,2500,
4248,743.085388,4248,2500,
4249,744.085388,4249,2450,
4250,745.085388,4250,2450,
4251,747.085388,4251,2450,
4252,748.085388,4252,2450,
4253,749.085388,4253,2450,
4254,749.085388,4254,2500,
4255,749.085388,4255,2500,
4256,750.085388,4256,2500,
4257,751.085388,4257,2450,
4258,751.085388,4258,2500,
4259,751.085388,4259,2500,
4260,751.085388,4260,2500,
4261,751.085388,4261,2500,
4262,752.085388,4262,2450,
4263,751.085388,4263,2550,
4264,751.085388,4264,2500,
4265,750.085388,4265,2550,
4266,749.085388,4266,2500,
4267,748.085388,4267,2550,
4268,747.085388,4268,2550,
4269,746.085388,4269,2550,
4270,746.085388,4270,2500,
4271,746.085388,4271,2500,
4272,746.085388,4272,2500,
4273,747.085388,4273,2500,
4274,748.085388,4274,2450,
4275,748.085388,4275,2500,
4276,749.085388,4276,2500,
