"d_x","d_y","ts_x","ts_y","f_x","f_y","cs_x","cs_y"
702,341.358826,702,1200,702,1287.370117,702,1200,
703,341.358826,703,1200,703,1289.355957,703,1200,
704,339.672302,704,1200,704,1285.704956,704,1250,
705,339.672302,705,1200,705,1285.2948,705,1200,
706,340.069122,706,1200,706,1284.959473,706,1200,
707,337.985779,707,1200,707,1282.553101,707,1250,
708,338.392273,708,1200,708,1281.190308,708,1219.512207,
709,338.392273,709,1200,709,1280.763306,709,1200,
710,338.789093,710,1200,710,1280.411133,710,1200,
711,338.789093,711,1200,711,1278.996094,711,1200,
712,339.185913,712,1200,712,1278.642212,712,1200,
713,339.185913,713,1200,713,1278.213257,713,1200,
714,339.582733,714,1200,714,1278.213257,714,1200,
715,339.582733,715,1200,715,1277.784302,715,1200,
716,337.89621,716,1200,716,1275.434692,716,1250,
717,339.115723,717,1200,717,1277.829468,717,1170.731689,
718,338.302704,718,1300,718,1277.477417,718,1200,
719,344.07193,719,1300,719,1279.857422,719,1150,
720,350.207458,720,1300,720,1280.016724,720,1250,
721,354.053619,721,1300,721,1282.488281,721,1200,
722,356.526123,722,1300,722,1283.735596,722,1250,
723,357.745636,723,1300,723,1284.533081,723,1268.292725,
724,358.965149,724,1300,724,1284.535522,724,1300,
725,360.888214,725,1300,725,1288.439941,725,1250,
726,361.437653,726,1300,726,1289.204712,726,1300,
727,361.437653,727,1300,727,1289.894653,727,1300,
728,363.876678,728,1300,728,1294.049561,728,1268.292725,
729,363.876678,729,1300,729,1296.129883,729,1300,
730,362.503052,730,1300,730,1295.770996,730,1350,
731,362.503052,731,1300,731,1296.893799,731,1300,
732,361.129425,732,1300,732,1296.219238,732,1350,
733,362.348938,733,1300,733,1298.266113,733,1268.292725,
734,359.769196,734,1300,734,1297.278442,734,1350,
735,359.769196,735,1300,735,1297.278442,735,1300,
736,360.318634,736,1300,736,1297.859131,736,1300,
737,360.318634,737,1300,737,1300.360718,737,1300,
738,360.868073,738,1300,738,1300.147949,738,1300,
739,360.868073,739,1300,739,1301.068848,739,1300,
740,361.430908,740,1300,740,1300.308105,740,1268.292725,
741,361.430908,741,1300,741,1300.743652,741,1300,
742,360.057281,742,1300,742,1296.999634,742,1350,
743,361.980347,743,1300,743,1298.00354,743,1250,
744,360.698303,744,1300,744,1297.519775,744,1300,
745,360.698303,745,1300,745,1297.830933,745,1300,
746,361.247742,746,1300,746,1296.267822,746,1300,
747,361.247742,747,1300,747,1296.233643,747,1300,
748,359.965698,748,1300,748,1295.96936,748,1300,
749,359.965698,749,1300,749,1294.236084,749,1300,
750,358.683655,750,1300,750,1293.303833,750,1300,
751,358.683655,751,1300,751,1294.174683,751,1300,
752,359.233093,752,1300,752,1293.587646,752,1300,
753,359.233093,753,1300,753,1294.797852,753,1300,
754,359.782532,754,1300,754,1293.310425,754,1300,
755,359.782532,755,1300,755,1294.857666,755,1300,
756,360.33197,756,1300,756,1294.857666,756,1300,
757,360.33197,757,1300,757,1294.859863,757,1300,
758,358.958344,758,1300,758,1293.074219,758,1350,
759,358.958344,759,1400,759,1292.731567,759,1300,
760,366.61142,760,1400,760,1293.762573,760,1300,
761,370.182861,761,1400,761,1294.309448,761,1300,
762,376.106201,762,1400,762,1296.383911,762,1317.073242,
763,377.891907,763,1400,763,1299.508911,763,1350,
764,380.330933,764,1400,764,1300.60437,764,1317.073242,
765,380.330933,765,1400,765,1300.938843,765,1400,
766,379.225494,766,1400,766,1299.602783,766,1450,
767,379.225494,767,1400,767,1299.649536,767,1400,
768,379.82074,768,1400,768,1298.314209,768,1450,
769,381.606445,769,1400,769,1300.560547,769,1350,
770,380.586029,770,1400,770,1301.070312,770,1400,
771,380.586029,771,1400,771,1301.810303,771,1400,
772,381.266296,772,1400,772,1302.666504,772,1400,
773,381.266296,773,1400,773,1303.424194,773,1400,
774,380.24588,774,1400,774,1304.007202,774,1400,
775,380.24588,775,1400,775,1304.491699,775,1400,
776,379.140442,776,1400,776,1303.305664,776,1450,
777,379.140442,777,1400,777,1303.305664,777,1400,
778,379.820709,778,1400,778,1303.618652,778,1400,
779,379.820709,779,1400,779,1305.719604,779,1400,
780,380.500977,780,1400,780,1306.395508,780,1400,
781,380.500977,781,1400,781,1305.697632,781,1400,
782,381.181244,782,1400,782,1304.474976,782,1400,
